pesticide_name	food_type	limi_mg_kg
가스가마이신	가지	0.3
가스가마이신	감귤	0.5
가스가마이신	감자	0.05
가스가마이신	갓	8
가스가마이신	강황	0.7
가스가마이신	건삼	0.05
가스가마이신	고수(잎)	2
가스가마이신	고추	1.5
가스가마이신	근대	8
가스가마이신	냉이	8
가스가마이신	당근	0.2
가스가마이신	들깻잎	5
가스가마이신	딸기	0.3
가스가마이신	마	0.05
가스가마이신	마(건조)	0.05
가스가마이신	마늘	0.05
가스가마이신	머위	0.05
가스가마이신	멜론	0.2
가스가마이신	무(뿌리)	0.05
가스가마이신	무(잎)	2
가스가마이신	미나리	0.5
가스가마이신	배추	0.1
가스가마이신	부추	0.7
가스가마이신	브로콜리	0.2
가스가마이신	비트(뿌리)	0.15
가스가마이신	상추	10
가스가마이신	생강	0.02
가스가마이신	셀러리	0.5
가스가마이신	수박	0.05
가스가마이신	수삼	0.05
가스가마이신	순무	0.02
가스가마이신	시금치	3
가스가마이신	쌀	0.07
가스가마이신	쑥갓	8
가스가마이신	아스파라거스	0.7
가스가마이신	양배추	0.2
가스가마이신	양상추	10
가스가마이신	양파	0.05
가스가마이신	엇갈이배추	0.3
가스가마이신	엽경채류	0.7
가스가마이신	엽채류	5
가스가마이신	오이	0.2
가스가마이신	옥수수	0.02
가스가마이신	조	2
가스가마이신	참외	0.3
가스가마이신	청경채	8
가스가마이신	체리	0.6
가스가마이신	취나물	8
가스가마이신	치커리	8
가스가마이신	키위	0.05
가스가마이신	토마토	0.5
가스가마이신	파	0.3
가스가마이신	풋마늘	0.1
가스가마이신	피망	1.5
가스가마이신	호박	0.5
가스가마이신	호박잎	15
글루포시네이트	감귤	0.1
글루포시네이트	감귤류	0.05
글루포시네이트	감자	0.8
글루포시네이트	강황	0.05
글루포시네이트	건삼	0.05
글루포시네이트	견과류	0.1
글루포시네이트	고구마	0.05
글루포시네이트	고구마줄기	0.05
글루포시네이트	고려엉겅퀴	0.05
글루포시네이트	고사리	0.05
글루포시네이트	고추	0.05
글루포시네이트	고춧잎	0.05
글루포시네이트	구기자	0.05
글루포시네이트	기장	0.05
글루포시네이트	녹두	0.05
글루포시네이트	눈개승마	0.05
글루포시네이트	당귀(잎)	0.05
글루포시네이트	당근	0.05
글루포시네이트	대두	2
글루포시네이트	더덕	0.05
글루포시네이트	도라지	0.05
글루포시네이트	둥굴레(잎)	0.05
글루포시네이트	들깻잎	0.05
글루포시네이트	딸기	0.05
글루포시네이트	마	0.05
글루포시네이트	마늘	0.05
글루포시네이트	망고	0.05
글루포시네이트	메밀	0.05
글루포시네이트	면실	3
글루포시네이트	무(뿌리)	0.05
글루포시네이트	무(잎)	0.05
글루포시네이트	무화과	0.05
글루포시네이트	밀	0.05
글루포시네이트	바나나	0.05
글루포시네이트	방아잎	0.05
글루포시네이트	배추	0.05
글루포시네이트	보리	0.05
글루포시네이트	복분자	0.05
글루포시네이트	부추	0.05
글루포시네이트	블루베리	0.1
글루포시네이트	비트(뿌리)	0.05
글루포시네이트	사과	0.05
글루포시네이트	산마늘잎	0.05
글루포시네이트	생강	0.05
글루포시네이트	수박	0.05
글루포시네이트	수삼	0.05
글루포시네이트	수수	0.05
글루포시네이트	쌀	0.05
글루포시네이트	쑥갓	0.05
글루포시네이트	쑥부쟁이	0.05
글루포시네이트	아로니아	0.05
글루포시네이트	아욱	0.05
글루포시네이트	양배추	0.05
글루포시네이트	양상추	0.05
글루포시네이트	양파	0.05
글루포시네이트	엇갈이배추	0.05
글루포시네이트	오디	0.05
글루포시네이트	오이	0.05
글루포시네이트	옥수수	0.05
글루포시네이트	올리브(열매)	0.1
글루포시네이트	유자	0.05
글루포시네이트	유채씨	0.3
글루포시네이트	율무	0.05
글루포시네이트	인과류	0.05
글루포시네이트	조	0.05
글루포시네이트	차	0.05
글루포시네이트	참깨	0.05
글루포시네이트	청경채	0.05
글루포시네이트	체리	0.15
글루포시네이트	취나물	0.05
